epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.908,4.12,3.64851,3.83756,0.00886,0.08721,0.00483,0.0013,3.46132,72.8217,6.5027,0.000663121,0.000663121,0.000663121
2,61.4969,2.81519,3.32529,3.0532,0.06268,0.05467,0.02656,0.00792,nan,nan,nan,0.00131662,0.00131662,0.00131662
3,85.0834,2.30669,2.72913,2.66955,0.39557,0.16508,0.18697,0.08019,2.27812,2.61388,2.57225,0.00195692,0.00195692,0.00195692
4,108.861,2.21004,2.34868,2.65946,0.35354,0.26789,0.25959,0.11046,2.13745,2.99624,2.56761,0.0019406,0.0019406,0.0019406
5,132.005,1.97688,2.18776,2.48257,0.3877,0.26416,0.26514,0.12932,1.85151,2.59003,2.45319,0.0019208,0.0019208,0.0019208
6,155.462,1.80258,1.97235,2.44888,0.31896,0.48588,0.34829,0.18711,1.66012,4.52935,2.41638,0.001901,0.001901,0.001901
7,178.802,1.64732,2.04722,2.46788,0.44805,0.26722,0.31295,0.19681,1.42271,2.36277,2.34518,0.0018812,0.0018812,0.0018812
8,202.297,1.53257,1.71937,2.43048,0.40319,0.35048,0.37681,0.24247,1.3485,2.76592,2.30242,0.0018614,0.0018614,0.0018614
9,226.188,1.40334,1.80339,2.3745,0.3661,0.4305,0.38159,0.25396,1.23699,3.06445,2.28517,0.0018416,0.0018416,0.0018416
10,250.249,1.33214,1.58615,2.37649,0.36554,0.49452,0.40824,0.26789,1.20195,2.96779,2.22682,0.0018218,0.0018218,0.0018218
11,274.23,1.29629,1.57387,2.3363,0.39872,0.33519,0.37859,0.26873,1.08075,3.12672,2.22499,0.001802,0.001802,0.001802
12,298.039,1.16037,1.4498,2.37226,0.38429,0.61266,0.45389,0.33402,0.97856,2.77693,2.22436,0.0017822,0.0017822,0.0017822
13,322.137,1.14951,1.44497,2.36377,0.48799,0.30966,0.41985,0.2989,0.98709,2.75846,2.27534,0.0017624,0.0017624,0.0017624
14,346.343,1.08159,1.40009,2.33099,0.3382,0.49054,0.41143,0.30653,0.9403,3.1644,2.23303,0.0017426,0.0017426,0.0017426
15,370.58,1.05213,1.36732,2.29044,0.38339,0.55838,0.44588,0.3394,0.8679,2.77407,2.1915,0.0017228,0.0017228,0.0017228
16,394.77,0.9806,1.42263,2.27465,0.40426,0.44309,0.4362,0.32313,0.87148,3.22909,2.1953,0.001703,0.001703,0.001703
17,418.829,0.91528,1.26548,2.23835,0.43287,0.41217,0.45872,0.35241,0.80347,3.43631,2.17576,0.0016832,0.0016832,0.0016832
18,443.018,0.92605,1.22468,2.24144,0.39458,0.56159,0.46447,0.36113,0.7869,3.31802,2.17775,0.0016634,0.0016634,0.0016634
19,467.244,0.93459,1.24091,2.2569,0.38717,0.5818,0.46881,0.37189,0.76277,3.20457,2.1351,0.0016436,0.0016436,0.0016436
20,491.742,0.86845,1.25135,2.22282,0.37614,0.57418,0.45439,0.3632,0.74098,5.21534,2.133,0.0016238,0.0016238,0.0016238
21,516.242,0.84466,1.37079,2.21712,0.38155,0.5918,0.4598,0.36109,0.78715,3.92335,2.17769,0.001604,0.001604,0.001604
22,540.523,0.86344,1.17475,2.21595,0.42724,0.48822,0.47645,0.38318,0.71611,2.9072,2.12352,0.0015842,0.0015842,0.0015842
23,565.377,0.81874,1.11897,2.19738,0.37007,0.68056,0.46577,0.37176,0.72742,4.69708,2.10409,0.0015644,0.0015644,0.0015644
24,590.131,0.78856,1.44509,2.18252,0.45765,0.41288,0.48087,0.38908,0.70472,3.61142,2.09886,0.0015446,0.0015446,0.0015446
25,615.014,0.77535,1.16369,2.20033,0.38086,0.59953,0.4668,0.38304,0.65592,5.02547,2.09354,0.0015248,0.0015248,0.0015248
26,640.73,0.80262,1.1562,2.15444,0.38592,0.66876,0.47151,0.37728,0.68913,3.12626,2.06034,0.001505,0.001505,0.001505
27,665.887,0.79358,1.13207,2.15527,0.40672,0.4866,0.47053,0.37911,0.67649,3.77783,2.06847,0.0014852,0.0014852,0.0014852
28,690.7,0.75557,1.13032,2.14303,0.37325,0.69358,0.47671,0.38691,0.68926,4.32168,2.04942,0.0014654,0.0014654,0.0014654
29,715.998,0.8064,1.07981,2.12093,0.37579,0.76965,0.47866,0.38854,0.63821,4.04639,2.04742,0.0014456,0.0014456,0.0014456
30,741.107,0.72476,1.00371,2.11301,0.37726,0.5963,0.47434,0.38858,0.66663,5.0859,2.02723,0.0014258,0.0014258,0.0014258
31,766.639,0.74761,1.11411,2.12087,0.37424,0.69106,0.465,0.38375,0.63938,4.05767,2.02447,0.001406,0.001406,0.001406
32,792.001,0.70477,1.07587,2.08983,0.38594,0.67074,0.48215,0.40674,0.59183,3.17002,2.02247,0.0013862,0.0013862,0.0013862
