epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7909,0,133.337,0,0,0,0,0,0,0,0,6.003e-05,6.003e-05,6.003e-05
2,37.8782,0,118.314,0,0,0,0,0,0,0,0,0.000124221,0.000124221,0.000124221
3,47.0237,0,105.116,0,0,0,0,0,0,0,0,0.00018577,0.00018577,0.00018577
4,54.9635,0,95.3037,0,0,0,0,0,0,0,0,0.000244678,0.000244678,0.000244678
5,60.0292,0,89.8233,0,0,0,0,0,0,0,0,0.000300945,0.000300945,0.000300945
6,66.9928,0,86.5106,0,0,0,0,0,0,0,0,0.000354571,0.000354571,0.000354571
7,69.9371,0,83.2188,0,0,0,0,0,0,0,0,0.000405555,0.000405555,0.000405555
8,76.134,0,79.1783,0,0,0,0,0,0,0,0,0.000453898,0.000453898,0.000453898
9,81.0671,0,74.9062,0,0,0,0,0,0,0,0,0.000499599,0.000499599,0.000499599
10,84.3176,0,71.025,0,0,0,0,0,0,0,0,0.000542659,0.000542659,0.000542659
